Running as unit: run-rec96ad1670f14d8c9a73f654fecd97cf.scope; invocation ID: fefbc2b3254d47bcb65d6abdc857b014
  [117/168] model.layers.23.self_attn.o_proj.weight: n=4194304 p0=0.3853 H0=1.5764 rans0=1.5832 rans1=1.5831 mism=0
  [118/168] model.layers.23.self_attn.q_proj.weight: n=4194304 p0=0.4725 H0=1.5253 rans0=1.5322 rans1=1.5293 mism=0
  [119/168] model.layers.23.self_attn.v_proj.weight: n=524288 p0=0.4326 H0=1.5543 rans0=1.6089 rans1=1.6090 mism=0
  [120/168] model.layers.3.mlp.down_proj.weight: n=18874368 p0=0.3762 H0=1.5791 rans0=1.5806 rans1=1.5806 mism=0
  [121/168] model.layers.3.mlp.gate_proj.weight: n=18874368 p0=0.3676 H0=1.5812 rans0=1.5828 rans1=1.5828 mism=0
  [122/168] model.layers.3.mlp.up_proj.weight: n=18874368 p0=0.3802 H0=1.5780 rans0=1.5795 rans1=1.5795 mism=0
  [123/168] model.layers.3.self_attn.k_proj.weight: n=524288 p0=0.3433 H0=1.5846 rans0=1.6397 rans1=1.6346 mism=0
  [124/168] model.layers.3.self_attn.o_proj.weight: n=4194304 p0=0.3980 H0=1.5718 rans0=1.5786 rans1=1.5786 mism=0
  [125/168] model.layers.3.self_attn.q_proj.weight: n=4194304 p0=0.3825 H0=1.5773 rans0=1.5842 rans1=1.5821 mism=0
  [126/168] model.layers.3.self_attn.v_proj.weight: n=524288 p0=0.4014 H0=1.5704 rans0=1.6252 rans1=1.6255 mism=0
  [127/168] model.layers.4.mlp.down_proj.weight: n=18874368 p0=0.3997 H0=1.5711 rans0=1.5726 rans1=1.5726 mism=0
  [128/168] model.layers.4.mlp.gate_proj.weight: n=18874368 p0=0.3780 H0=1.5786 rans0=1.5802 rans1=1.5802 mism=0
  [129/168] model.layers.4.mlp.up_proj.weight: n=18874368 p0=0.3773 H0=1.5788 rans0=1.5803 rans1=1.5803 mism=0
  [130/168] model.layers.4.self_attn.k_proj.weight: n=524288 p0=0.3470 H0=1.5844 rans0=1.6394 rans1=1.6364 mism=0
  [131/168] model.layers.4.self_attn.o_proj.weight: n=4194304 p0=0.4024 H0=1.5699 rans0=1.5768 rans1=1.5768 mism=0
  [132/168] model.layers.4.self_attn.q_proj.weight: n=4194304 p0=0.3807 H0=1.5778 rans0=1.5847 rans1=1.5830 mism=0
  [133/168] model.layers.4.self_attn.v_proj.weight: n=524288 p0=0.3611 H0=1.5825 rans0=1.6385 rans1=1.6385 mism=0
  [134/168] model.layers.5.mlp.down_proj.weight: n=18874368 p0=0.3859 H0=1.5762 rans0=1.5777 rans1=1.5777 mism=0
  [135/168] model.layers.5.mlp.gate_proj.weight: n=18874368 p0=0.3813 H0=1.5777 rans0=1.5792 rans1=1.5792 mism=0
  [136/168] model.layers.5.mlp.up_proj.weight: n=18874368 p0=0.3947 H0=1.5731 rans0=1.5746 rans1=1.5746 mism=0
  [137/168] model.layers.5.self_attn.k_proj.weight: n=524288 p0=0.3600 H0=1.5827 rans0=1.6378 rans1=1.6369 mism=0
  [138/168] model.layers.5.self_attn.o_proj.weight: n=4194304 p0=0.3910 H0=1.5744 rans0=1.5813 rans1=1.5814 mism=0
  [139/168] model.layers.5.self_attn.q_proj.weight: n=4194304 p0=0.3865 H0=1.5760 rans0=1.5829 rans1=1.5817 mism=0
  [140/168] model.layers.5.self_attn.v_proj.weight: n=524288 p0=0.4160 H0=1.5635 rans0=1.6183 rans1=1.6184 mism=0
  [141/168] model.layers.6.mlp.down_proj.weight: n=18874368 p0=0.3910 H0=1.5745 rans0=1.5760 rans1=1.5760 mism=0
  [142/168] model.layers.6.mlp.gate_proj.weight: n=18874368 p0=0.3842 H0=1.5767 rans0=1.5783 rans1=1.5783 mism=0
  [143/168] model.layers.6.mlp.up_proj.weight: n=18874368 p0=0.4032 H0=1.5696 rans0=1.5711 rans1=1.5711 mism=0
  [144/168] model.layers.6.self_attn.k_proj.weight: n=524288 p0=0.4694 H0=1.5279 rans0=1.5825 rans1=1.5528 mism=0
  [145/168] model.layers.6.self_attn.o_proj.weight: n=4194304 p0=0.3969 H0=1.5722 rans0=1.5791 rans1=1.5788 mism=0
  [146/168] model.layers.6.self_attn.q_proj.weight: n=4194304 p0=0.4737 H0=1.5243 rans0=1.5311 rans1=1.5219 mism=0
  [147/168] model.layers.6.self_attn.v_proj.weight: n=524288 p0=0.3785 H0=1.5785 rans0=1.6336 rans1=1.6336 mism=0
  [148/168] model.layers.7.mlp.down_proj.weight: n=18874368 p0=0.3932 H0=1.5736 rans0=1.5752 rans1=1.5751 mism=0
  [149/168] model.layers.7.mlp.gate_proj.weight: n=18874368 p0=0.4084 H0=1.5672 rans0=1.5688 rans1=1.5687 mism=0
  [150/168] model.layers.7.mlp.up_proj.weight: n=18874368 p0=0.4021 H0=1.5701 rans0=1.5716 rans1=1.5716 mism=0
  [151/168] model.layers.7.self_attn.k_proj.weight: n=524288 p0=0.3898 H0=1.5749 rans0=1.6295 rans1=1.6275 mism=0
  [152/168] model.layers.7.self_attn.o_proj.weight: n=4194304 p0=0.3915 H0=1.5743 rans0=1.5811 rans1=1.5811 mism=0
  [153/168] model.layers.7.self_attn.q_proj.weight: n=4194304 p0=0.4312 H0=1.5551 rans0=1.5619 rans1=1.5582 mism=0
  [154/168] model.layers.7.self_attn.v_proj.weight: n=524288 p0=0.4250 H0=1.5587 rans0=1.6135 rans1=1.6137 mism=0
  [155/168] model.layers.8.mlp.down_proj.weight: n=18874368 p0=0.4160 H0=1.5636 rans0=1.5651 rans1=1.5651 mism=0
  [156/168] model.layers.8.mlp.gate_proj.weight: n=18874368 p0=0.4130 H0=1.5650 rans0=1.5666 rans1=1.5665 mism=0
  [157/168] model.layers.8.mlp.up_proj.weight: n=18874368 p0=0.4135 H0=1.5648 rans0=1.5663 rans1=1.5663 mism=0
  [158/168] model.layers.8.self_attn.k_proj.weight: n=524288 p0=0.4465 H0=1.5453 rans0=1.5999 rans1=1.5717 mism=0
  [159/168] model.layers.8.self_attn.o_proj.weight: n=4194304 p0=0.3990 H0=1.5714 rans0=1.5782 rans1=1.5782 mism=0
  [160/168] model.layers.8.self_attn.q_proj.weight: n=4194304 p0=0.4698 H0=1.5276 rans0=1.5345 rans1=1.5270 mism=0
  [161/168] model.layers.8.self_attn.v_proj.weight: n=524288 p0=0.3847 H0=1.5766 rans0=1.6319 rans1=1.6320 mism=0
  [162/168] model.layers.9.mlp.down_proj.weight: n=18874368 p0=0.4050 H0=1.5688 rans0=1.5703 rans1=1.5703 mism=0
  [163/168] model.layers.9.mlp.gate_proj.weight: n=18874368 p0=0.4204 H0=1.5612 rans0=1.5628 rans1=1.5627 mism=0
  [164/168] model.layers.9.mlp.up_proj.weight: n=18874368 p0=0.3973 H0=1.5720 rans0=1.5736 rans1=1.5736 mism=0
  [165/168] model.layers.9.self_attn.k_proj.weight: n=524288 p0=0.4948 H0=1.5051 rans0=1.5600 rans1=1.5426 mism=0
  [166/168] model.layers.9.self_attn.o_proj.weight: n=4194304 p0=0.4455 H0=1.5459 rans0=1.5528 rans1=1.5528 mism=0
  [167/168] model.layers.9.self_attn.q_proj.weight: n=4194304 p0=0.4489 H0=1.5435 rans0=1.5504 rans1=1.5464 mism=0
  [168/168] model.layers.9.self_attn.v_proj.weight: n=524288 p0=0.3663 H0=1.5815 rans0=1.6383 rans1=1.6385 mism=0

=== SUMMARY: falcon_e_1b ===
{
  "model_path": "/home/justinbrianthompson/projects/alice-aegis/falcon_e_1b_model.safetensors",
  "label": "falcon_e_1b",
  "n_tensors": 168,
  "total_weights": 1585446912,
  "overall_bits_per_weight": {
    "packed_reference_5trit": 1.6,
    "actual_aegis_packing": 2.0,
    "rans0_achieved": 1.5675348554338728,
    "rans1_achieved": 1.5671310828476357,
    "zstd19_achieved": 1.5733518550004908,
    "xz9_achieved": 1.5917094397166418
  },
  "total_bytes": {
    "packed_reference_5trit": 317089382.40000033,
    "actual_aegis_packing": 396361728,
    "rans0": 310655412.0,
    "rans1": 310575392.0,
    "zstd19": 311808230.0,
    "xz9": 315446352.0
  },
  "total_roundtrip_mismatches": 0,
  "by_layer_type_zero_fraction": {
    "ffn_down": 0.4099595414267646,
    "ffn_gate": 0.40751166034627845,
    "ffn_up": 0.39845595315650656,
    "attn_k": 0.4493992328643799,
    "attn_o": 0.40207353234291077,
    "attn_q": 0.4455118775367737,
    "attn_v": 0.405722697575887
  },
  "elapsed_seconds": 1860.822449207306,
  "csv_path": "/home/justinbrianthompson/projects/alice-aegis-es1/artifacts/es1/falcon_e_1b_census.csv"
}
