name,abs_start,abs_end
model.layers.29.mlp.ffn_sub_norm.weight,1353553,1381201
model.layers.29.mlp.gate_proj.weight_scale,1381201,1381205
model.layers.29.mlp.up_proj.weight_scale,1381205,1381209
model.layers.29.post_attention_layernorm.weight,1381209,1391449
model.layers.29.self_attn.attn_sub_norm.weight,1391449,1401689
model.layers.29.self_attn.k_proj.weight_scale,1401689,1401693
model.layers.29.self_attn.o_proj.weight_scale,1401693,1401697
model.layers.29.self_attn.q_proj.weight_scale,1401697,1401701
model.layers.29.self_attn.v_proj.weight_scale,1401701,1401705
model.layers.3.input_layernorm.weight,1401705,1411945
model.layers.3.mlp.down_proj.weight_scale,1411945,1411949
model.layers.3.mlp.ffn_sub_norm.weight,1411949,1439597
model.layers.3.mlp.gate_proj.weight_scale,1439597,1439601
model.layers.3.mlp.up_proj.weight_scale,1439601,1439605
model.layers.3.post_attention_layernorm.weight,1439605,1449845
model.layers.3.self_attn.attn_sub_norm.weight,1449845,1460085
model.layers.3.self_attn.k_proj.weight_scale,1460085,1460089
model.layers.3.self_attn.o_proj.weight_scale,1460089,1460093
model.layers.3.self_attn.q_proj.weight_scale,1460093,1460097
model.layers.3.self_attn.v_proj.weight_scale,1460097,1460101
model.layers.4.input_layernorm.weight,1460101,1470341
model.layers.4.mlp.down_proj.weight_scale,1470341,1470345
model.layers.4.mlp.ffn_sub_norm.weight,1470345,1497993
model.layers.4.mlp.gate_proj.weight_scale,1497993,1497997
model.layers.4.mlp.up_proj.weight_scale,1497997,1498001
model.layers.4.post_attention_layernorm.weight,1498001,1508241
model.layers.4.self_attn.attn_sub_norm.weight,1508241,1518481
model.layers.4.self_attn.k_proj.weight_scale,1518481,1518485
model.layers.4.self_attn.o_proj.weight_scale,1518485,1518489
model.layers.4.self_attn.q_proj.weight_scale,1518489,1518493
model.layers.4.self_attn.v_proj.weight_scale,1518493,1518497
model.layers.5.input_layernorm.weight,1518497,1528737
model.layers.5.mlp.down_proj.weight_scale,1528737,1528741
model.layers.5.mlp.ffn_sub_norm.weight,1528741,1556389
model.layers.5.mlp.gate_proj.weight_scale,1556389,1556393
model.layers.5.mlp.up_proj.weight_scale,1556393,1556397
model.layers.5.post_attention_layernorm.weight,1556397,1566637
model.layers.5.self_attn.attn_sub_norm.weight,1566637,1576877
model.layers.5.self_attn.k_proj.weight_scale,1576877,1576881
model.layers.5.self_attn.o_proj.weight_scale,1576881,1576885
model.layers.5.self_attn.q_proj.weight_scale,1576885,1576889
model.layers.5.self_attn.v_proj.weight_scale,1576889,1576893
model.layers.6.input_layernorm.weight,1576893,1587133
model.layers.6.mlp.down_proj.weight_scale,1587133,1587137
model.layers.6.mlp.ffn_sub_norm.weight,1587137,1614785
model.layers.6.mlp.gate_proj.weight_scale,1614785,1614789
model.layers.6.mlp.up_proj.weight_scale,1614789,1614793
