[train] model params: 6529920 (6.53M) | linear=fp | sched=cosine | B=8 T=512 threads=4
step  1180/122071 | loss 2.8262 | lr 5.90e-04 | wd 0.100 | gnorm 1.58 | 2261.1s
step  1190/122071 | loss 2.9201 | lr 5.95e-04 | wd 0.100 | gnorm 1.54 | 2280.4s
step  1200/122071 | loss 2.8313 | lr 6.00e-04 | wd 0.100 | gnorm 1.70 | 2299.4s
step  1210/122071 | loss 2.8596 | lr 6.05e-04 | wd 0.100 | gnorm 1.52 | 2318.0s
step  1220/122071 | loss 2.9710 | lr 6.10e-04 | wd 0.100 | gnorm 1.53 | 2337.0s
step  1230/122071 | loss 2.8531 | lr 6.15e-04 | wd 0.100 | gnorm 1.86 | 2355.7s
step  1240/122071 | loss 2.8426 | lr 6.20e-04 | wd 0.100 | gnorm 1.45 | 2375.6s
step  1250/122071 | loss 2.8397 | lr 6.25e-04 | wd 0.100 | gnorm 1.55 | 2394.8s
step  1260/122071 | loss 2.6807 | lr 6.30e-04 | wd 0.100 | gnorm 1.39 | 2413.7s
step  1270/122071 | loss 2.8783 | lr 6.35e-04 | wd 0.100 | gnorm 1.54 | 2432.4s
step  1280/122071 | loss 2.8078 | lr 6.40e-04 | wd 0.100 | gnorm 1.48 | 2451.7s
step  1290/122071 | loss 2.7367 | lr 6.45e-04 | wd 0.100 | gnorm 1.40 | 2470.4s
step  1300/122071 | loss 2.7740 | lr 6.50e-04 | wd 0.100 | gnorm 1.49 | 2489.3s
step  1310/122071 | loss 2.6970 | lr 6.55e-04 | wd 0.100 | gnorm 1.71 | 2508.0s
step  1320/122071 | loss 2.7328 | lr 6.60e-04 | wd 0.100 | gnorm 1.39 | 2526.7s
step  1330/122071 | loss 2.6953 | lr 6.65e-04 | wd 0.100 | gnorm 1.40 | 2545.5s
step  1340/122071 | loss 2.9633 | lr 6.70e-04 | wd 0.100 | gnorm 1.50 | 2564.6s
step  1350/122071 | loss 2.8281 | lr 6.75e-04 | wd 0.100 | gnorm 1.24 | 2584.6s
step  1360/122071 | loss 2.8827 | lr 6.80e-04 | wd 0.100 | gnorm 1.47 | 2603.8s
step  1370/122071 | loss 2.8956 | lr 6.85e-04 | wd 0.100 | gnorm 1.43 | 2623.7s
step  1380/122071 | loss 2.5365 | lr 6.90e-04 | wd 0.100 | gnorm 1.66 | 2643.6s
step  1390/122071 | loss 2.6708 | lr 6.95e-04 | wd 0.100 | gnorm 1.36 | 2662.6s
step  1400/122071 | loss 2.6164 | lr 7.00e-04 | wd 0.100 | gnorm 1.43 | 2681.9s
step  1410/122071 | loss 2.6645 | lr 7.05e-04 | wd 0.100 | gnorm 1.50 | 2700.8s
step  1420/122071 | loss 3.0969 | lr 7.10e-04 | wd 0.100 | gnorm 1.55 | 2720.6s
step  1430/122071 | loss 2.7496 | lr 7.15e-04 | wd 0.100 | gnorm 1.89 | 2740.5s
step  1440/122071 | loss 2.6945 | lr 7.20e-04 | wd 0.100 | gnorm 1.25 | 2759.6s
step  1450/122071 | loss 2.8525 | lr 7.25e-04 | wd 0.100 | gnorm 1.42 | 2778.9s
step  1460/122071 | loss 2.6140 | lr 7.30e-04 | wd 0.100 | gnorm 1.30 | 2799.0s
step  1470/122071 | loss 2.6320 | lr 7.35e-04 | wd 0.100 | gnorm 1.29 | 2818.4s
step  1480/122071 | loss 2.6415 | lr 7.40e-04 | wd 0.100 | gnorm 1.46 | 2837.8s
step  1490/122071 | loss 2.7198 | lr 7.45e-04 | wd 0.100 | gnorm 1.59 | 2856.8s
