[cooldown] source      : /home/killboxincorporated/model-lab/tinybit/checkpoints/m7a_twin.pt
[cooldown] source step : 122071
[cooldown] params      : 6529920 (6.530M) linear=fp
[cooldown] arch        : layers=6 hidden=256 inter=704 heads=4 kv=2 vocab=8192
[cooldown] val_hist    : 244 entries, last 5.5130
[cooldown] PLAN        : 4000 steps, lr 1.000e-04 -> 0 (cosine), wd 0.0 (was 0.1), B=8 T=512 threads=4
[cooldown] extra tokens: 16,384,000 (CONSERVATIVE: favours the twin)
[cooldown] output      : /home/killboxincorporated/model-lab/tinybit/checkpoints/m7a_twin_cooled.pt
[cooldown] first LRs   : 1.0000e-04, 1.0000e-04, 1.0000e-04, 1.0000e-04, 1.0000e-04
[cooldown] final LR    : 1.5421e-11
[cooldown] copied source -> output (original untouched)
[cooldown] optimizer moments restored from checkpoint
[cooldown] RNG state restored
[cooldown] BASELINE val_ppl (before any cooldown step): 5.5558
cool  1250/4000 | loss 1.5077 | lr 7.778e-05 | wd 0.000 | gnorm 2.07 | 3130.7s
cool  1260/4000 | loss 1.4679 | lr 7.745e-05 | wd 0.000 | gnorm 2.13 | 3153.6s
cool  1270/4000 | loss 1.4383 | lr 7.712e-05 | wd 0.000 | gnorm 2.09 | 3176.8s
cool  1280/4000 | loss 1.4792 | lr 7.679e-05 | wd 0.000 | gnorm 2.12 | 3200.7s
cool  1290/4000 | loss 1.2681 | lr 7.646e-05 | wd 0.000 | gnorm 1.93 | 3223.4s
cool  1300/4000 | loss 1.3754 | lr 7.612e-05 | wd 0.000 | gnorm 2.18 | 3246.6s
cool  1310/4000 | loss 1.3874 | lr 7.579e-05 | wd 0.000 | gnorm 2.03 | 3269.8s
cool  1320/4000 | loss 1.5408 | lr 7.545e-05 | wd 0.000 | gnorm 2.16 | 3293.2s
cool  1330/4000 | loss 1.5324 | lr 7.511e-05 | wd 0.000 | gnorm 2.18 | 3316.2s
cool  1340/4000 | loss 1.4534 | lr 7.477e-05 | wd 0.000 | gnorm 2.00 | 3339.5s
cool  1350/4000 | loss 1.4783 | lr 7.443e-05 | wd 0.000 | gnorm 2.17 | 3361.7s
cool  1360/4000 | loss 1.4239 | lr 7.409e-05 | wd 0.000 | gnorm 2.19 | 3384.6s
cool  1370/4000 | loss 1.4759 | lr 7.374e-05 | wd 0.000 | gnorm 2.15 | 3408.2s
cool  1380/4000 | loss 1.5447 | lr 7.340e-05 | wd 0.000 | gnorm 2.20 | 3431.4s
cool  1390/4000 | loss 1.3798 | lr 7.305e-05 | wd 0.000 | gnorm 2.06 | 3453.2s
cool  1400/4000 | loss 1.4080 | lr 7.270e-05 | wd 0.000 | gnorm 2.17 | 3476.7s
cool  1410/4000 | loss 1.6360 | lr 7.235e-05 | wd 0.000 | gnorm 2.32 | 3501.0s
cool  1420/4000 | loss 1.4626 | lr 7.200e-05 | wd 0.000 | gnorm 2.08 | 3523.3s
cool  1430/4000 | loss 1.4362 | lr 7.164e-05 | wd 0.000 | gnorm 2.13 | 3547.1s
cool  1440/4000 | loss 1.3794 | lr 7.129e-05 | wd 0.000 | gnorm 2.01 | 3570.9s
cool  1450/4000 | loss 1.5581 | lr 7.093e-05 | wd 0.000 | gnorm 2.20 | 3593.7s
