[train] model params: 14171392 (14.17M) | linear=bitlinear | sched=two_stage | B=8 T=512 threads=4
step  2060/122071 | loss 2.2955 | lr 2.00e-03 | wd 0.100 | gnorm 0.68 | 8325.7s
step  2070/122071 | loss 2.5643 | lr 2.00e-03 | wd 0.100 | gnorm 0.73 | 8366.1s
step  2080/122071 | loss 2.3144 | lr 2.00e-03 | wd 0.100 | gnorm 0.69 | 8406.2s
step  2090/122071 | loss 2.3599 | lr 2.00e-03 | wd 0.100 | gnorm 0.67 | 8446.4s
step  2100/122071 | loss 2.3274 | lr 2.00e-03 | wd 0.100 | gnorm 0.69 | 8486.7s
step  2110/122071 | loss 2.4355 | lr 2.00e-03 | wd 0.100 | gnorm 0.66 | 8526.2s
step  2120/122071 | loss 2.3313 | lr 2.00e-03 | wd 0.100 | gnorm 0.69 | 8566.9s
step  2130/122071 | loss 2.4235 | lr 2.00e-03 | wd 0.100 | gnorm 0.68 | 8607.8s
step  2140/122071 | loss 2.1389 | lr 2.00e-03 | wd 0.100 | gnorm 0.64 | 8647.4s
step  2150/122071 | loss 2.2023 | lr 2.00e-03 | wd 0.100 | gnorm 0.66 | 8688.0s
step  2160/122071 | loss 2.4529 | lr 2.00e-03 | wd 0.100 | gnorm 0.70 | 8727.6s
step  2170/122071 | loss 2.4410 | lr 2.00e-03 | wd 0.100 | gnorm 0.70 | 8767.5s
step  2180/122071 | loss 2.2831 | lr 2.00e-03 | wd 0.100 | gnorm 0.63 | 8808.5s
step  2190/122071 | loss 2.4065 | lr 2.00e-03 | wd 0.100 | gnorm 0.68 | 8848.8s
step  2200/122071 | loss 2.2199 | lr 2.00e-03 | wd 0.100 | gnorm 0.66 | 8888.0s
step  2210/122071 | loss 2.3804 | lr 2.00e-03 | wd 0.100 | gnorm 0.76 | 8928.6s
step  2220/122071 | loss 2.4970 | lr 2.00e-03 | wd 0.100 | gnorm 0.73 | 8969.2s
step  2230/122071 | loss 2.2996 | lr 2.00e-03 | wd 0.100 | gnorm 0.67 | 9008.6s
