==================================================
 A.L.I.C.E. Perplexity Evaluator (measured)
==================================================
Engine online. SIMD level: AVX2+FMA
Dataset: test.txt | total chars: 1254250
Progress: 930000/1254250 chars | chunk: 1291 tok (3.9 c/t) PPL 15.905 | overall: 232421 tok PPL 15.978
Progress: 935000/1254250 chars | chunk: 1205 tok (4.1 c/t) PPL 15.597 | overall: 233625 tok PPL 15.976
Progress: 940000/1254250 chars | chunk: 1084 tok (4.6 c/t) PPL 17.247 | overall: 234708 tok PPL 15.982
Progress: 945000/1254250 chars | chunk: 1251 tok (4.0 c/t) PPL 13.506 | overall: 235958 tok PPL 15.968
Progress: 950000/1254250 chars | chunk: 1249 tok (4.0 c/t) PPL 13.879 | overall: 237206 tok PPL 15.956
Progress: 955000/1254250 chars | chunk: 1186 tok (4.2 c/t) PPL 15.172 | overall: 238391 tok PPL 15.952
Progress: 960000/1254250 chars | chunk: 1213 tok (4.1 c/t) PPL 13.367 | overall: 239603 tok PPL 15.938
Progress: 965000/1254250 chars | chunk: 1224 tok (4.1 c/t) PPL 12.219 | overall: 240826 tok PPL 15.916
Progress: 970000/1254250 chars | chunk: 1199 tok (4.2 c/t) PPL 16.055 | overall: 242024 tok PPL 15.917
Progress: 975000/1254250 chars | chunk: 1329 tok (3.8 c/t) PPL 9.737 | overall: 243352 tok PPL 15.874
Progress: 980000/1254250 chars | chunk: 1336 tok (3.7 c/t) PPL 13.631 | overall: 244687 tok PPL 15.861
Progress: 985000/1254250 chars | chunk: 1233 tok (4.1 c/t) PPL 21.903 | overall: 245919 tok PPL 15.887
Progress: 990000/1254250 chars | chunk: 1205 tok (4.1 c/t) PPL 14.703 | overall: 247123 tok PPL 15.881
Progress: 995000/1254250 chars | chunk: 1175 tok (4.3 c/t) PPL 19.585 | overall: 248297 tok PPL 15.896
Progress: 1000000/1254250 chars | chunk: 1181 tok (4.2 c/t) PPL 19.895 | overall: 249477 tok PPL 15.913
Progress: 1005000/1254250 chars | chunk: 1142 tok (4.4 c/t) PPL 22.041 | overall: 250618 tok PPL 15.937
Progress: 1010000/1254250 chars | chunk: 1172 tok (4.3 c/t) PPL 19.315 | overall: 251789 tok PPL 15.951
Progress: 1015000/1254250 chars | chunk: 1151 tok (4.3 c/t) PPL 17.208 | overall: 252939 tok PPL 15.957
Progress: 1020000/1254250 chars | chunk: 1213 tok (4.1 c/t) PPL 11.568 | overall: 254151 tok PPL 15.932
Progress: 1025000/1254250 chars | chunk: 1233 tok (4.1 c/t) PPL 14.966 | overall: 255383 tok PPL 15.927
Progress: 1030000/1254250 chars | chunk: 1303 tok (3.8 c/t) PPL 12.482 | overall: 256685 tok PPL 15.908
Progress: 1035000/1254250 chars | chunk: 1149 tok (4.4 c/t) PPL 22.707 | overall: 257833 tok PPL 15.933
Progress: 1040000/1254250 chars | chunk: 1303 tok (3.8 c/t) PPL 13.562 | overall: 259135 tok PPL 15.920
Progress: 1045000/1254250 chars | chunk: 1282 tok (3.9 c/t) PPL 11.726 | overall: 260416 tok PPL 15.896
Progress: 1050000/1254250 chars | chunk: 1337 tok (3.7 c/t) PPL 9.958 | overall: 261752 tok PPL 15.858
Progress: 1055000/1254250 chars | chunk: 1381 tok (3.6 c/t) PPL 10.013 | overall: 263132 tok PPL 15.820
Progress: 1060000/1254250 chars | chunk: 1479 tok (3.4 c/t) PPL 8.335 | overall: 264610 tok PPL 15.763
Progress: 1065000/1254250 chars | chunk: 1333 tok (3.8 c/t) PPL 9.375 | overall: 265942 tok PPL 15.722
Progress: 1070000/1254250 chars | chunk: 1456 tok (3.4 c/t) PPL 11.025 | overall: 267397 tok PPL 15.692
Progress: 1075000/1254250 chars | chunk: 1336 tok (3.7 c/t) PPL 11.288 | overall: 268732 tok PPL 15.666
Progress: 1080000/1254250 chars | chunk: 1296 tok (3.9 c/t) PPL 18.695 | overall: 270027 tok PPL 15.680
Progress: 1085000/1254250 chars | chunk: 1260 tok (4.0 c/t) PPL 20.362 | overall: 271286 tok PPL 15.699
Progress: 1090000/1254250 chars | chunk: 1232 tok (4.1 c/t) PPL 17.419 | overall: 272517 tok PPL 15.706
Progress: 1095000/1254250 chars | chunk: 1264 tok (4.0 c/t) PPL 15.782 | overall: 273780 tok PPL 15.706
Progress: 1100000/1254250 chars | chunk: 1257 tok (4.0 c/t) PPL 17.409 | overall: 275036 tok PPL 15.714
Progress: 1105000/1254250 chars | chunk: 1272 tok (3.9 c/t) PPL 12.969 | overall: 276307 tok PPL 15.700
Progress: 1110000/1254250 chars | chunk: 1290 tok (3.9 c/t) PPL 13.208 | overall: 277596 tok PPL 15.687
Progress: 1115000/1254250 chars | chunk: 1188 tok (4.2 c/t) PPL 17.891 | overall: 278783 tok PPL 15.696
Progress: 1120000/1254250 chars | chunk: 1301 tok (3.8 c/t) PPL 15.904 | overall: 280083 tok PPL 15.697
Progress: 1125000/1254250 chars | chunk: 1220 tok (4.1 c/t) PPL 14.677 | overall: 281302 tok PPL 15.693
Progress: 1130000/1254250 chars | chunk: 1255 tok (4.0 c/t) PPL 16.722 | overall: 282556 tok PPL 15.697
Progress: 1135000/1254250 chars | chunk: 1144 tok (4.4 c/t) PPL 16.858 | overall: 283699 tok PPL 15.702
