=== WikiText-2 FULL test-set PPL — post-tokenizer-fix re-run (ATTEMPT 2) ===
date: 2026-07-18T01:13:34Z
binary: aegis-eval/target/release/aegis-eval (built 2026-07-16 22:57, commit 5989c32)
cmd: aegis-eval aegis_pruned_model.safetensors aegis-forge/embed.bin aegis-forge/vocab.bin test.txt (flagless = chunked full-text)
attempt 1 died at session-close 2026-07-16 23:47 (2% done; log: *_attempt1_DIED_session-close.log); this attempt runs under systemd-run --user + linger
prior full-set anchor: 15.825 (old tokenizer); sample anchors: old 10.348 / new 10.758
---
==================================================
 A.L.I.C.E. Perplexity Evaluator (measured)
==================================================
Engine online. SIMD level: AVX2+FMA
Dataset: test.txt | total chars: 1254250
Progress: 810000/1254250 chars | chunk: 1213 tok (4.1 c/t) PPL 24.131 | overall: 202008 tok PPL 16.064
Progress: 815000/1254250 chars | chunk: 1198 tok (4.2 c/t) PPL 22.163 | overall: 203205 tok PPL 16.094
Progress: 820000/1254250 chars | chunk: 1147 tok (4.4 c/t) PPL 23.501 | overall: 204351 tok PPL 16.128
Progress: 825000/1254250 chars | chunk: 1148 tok (4.4 c/t) PPL 24.880 | overall: 205498 tok PPL 16.167
Progress: 830000/1254250 chars | chunk: 1231 tok (4.1 c/t) PPL 14.166 | overall: 206728 tok PPL 16.155
Progress: 835000/1254250 chars | chunk: 1209 tok (4.1 c/t) PPL 26.880 | overall: 207936 tok PPL 16.203
Progress: 840000/1254250 chars | chunk: 1119 tok (4.5 c/t) PPL 20.523 | overall: 209054 tok PPL 16.223
Progress: 845000/1254250 chars | chunk: 1167 tok (4.3 c/t) PPL 20.073 | overall: 210220 tok PPL 16.242
Progress: 850000/1254250 chars | chunk: 1115 tok (4.5 c/t) PPL 18.088 | overall: 211334 tok PPL 16.251
Progress: 855000/1254250 chars | chunk: 1069 tok (4.7 c/t) PPL 21.805 | overall: 212402 tok PPL 16.275
Progress: 860000/1254250 chars | chunk: 1147 tok (4.4 c/t) PPL 20.417 | overall: 213548 tok PPL 16.295
Progress: 865000/1254250 chars | chunk: 1248 tok (4.0 c/t) PPL 16.613 | overall: 214795 tok PPL 16.297
Progress: 870000/1254250 chars | chunk: 1410 tok (3.5 c/t) PPL 12.504 | overall: 216204 tok PPL 16.269
Progress: 875000/1254250 chars | chunk: 1319 tok (3.8 c/t) PPL 14.491 | overall: 217522 tok PPL 16.258
Progress: 880000/1254250 chars | chunk: 1273 tok (3.9 c/t) PPL 16.529 | overall: 218794 tok PPL 16.259
Progress: 885000/1254250 chars | chunk: 1253 tok (4.0 c/t) PPL 15.538 | overall: 220046 tok PPL 16.255
Progress: 890000/1254250 chars | chunk: 1271 tok (3.9 c/t) PPL 14.966 | overall: 221316 tok PPL 16.247
Progress: 895000/1254250 chars | chunk: 1287 tok (3.9 c/t) PPL 16.392 | overall: 222602 tok PPL 16.248
